Report Date:,4/24/15 9:21,,,,,,,,,,,
Report User Name:,Troxler lab,,,,,,,,,,,
Report Computer Name:,TROXLERLAB-PC,,,,,,,,,,,
Application:,WinSitu.exe,,,,,,,,,,,
Application Version:,5.6.25.0,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Log File Properties,,,,,,,,,,,,
File Name,BS-1D_2015-01-29_14-49-08-526.wsl,,,,,,,,,,,
Create Date,1/29/15 14:49,,,,,,,,,,,
,,,,,,,,,,,,
Device Properties,,,,,,,,,,,,
Device,Aqua TROLL 200,,,,,,,,,,,
Site,SG Brackish,,,,,,,,,,,
Device Name, ,,,,,,,,,,,
Serial Number,142697,,,,,,,,,,,
Firmware Version,1.27,,,,,,,,,,,
Hardware Version,1,,,,,,,,,,,
Device Address,1,,,,,,,,,,,
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU),,,,,,,
Used Memory,0,,,,,,,,,,,
Used Battery,44,,,,,,,,,,,
,,,,,,,,,,,,
Log Configuration,,,,,,,,,,,,
,Log Name,BS-1D,,,,,,,,,,
,Created By,Troxler lab,,,,,,,,,,
,Computer Name,TROXLERLAB-PC,,,,,,,,,,
,Application,WinSitu.exe,,,,,,,,,,
,Application Version,5.6.25.0,,,,,,,,,,
,Create Date,10/30/2014 2:18:18 PM Central Daylight Time,,,,,,,,,,
,Log Setup Time Zone,Central Daylight Time,,,,,,,,,,
,Notes Size(bytes),4096,,,,,,,,,,
,Overwrite when full,Enabled,,,,,,,,,,
,Scheduled Start Time,10/30/2014 3:15:00 PM Central Daylight Time,,,,,,,,,,
,Scheduled Stop Time,No Stop Time,,,,,,,,,,
,Type,Linear,,,,,,,,,,
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Level Reference Settings At Log Creation,,,,,,,,,,,,
,        Level Measurement Mode,Level Depth To Water,,,,,,,,,,
,              Specific Gravity,1.012,,,,,,,,,,
,          Level Reference Mode:,Set new reference,,,,,,,,,,
,         Level Reference Value:,570 (mm),,,,,,,,,,
, Level Reference Head Pressure,1.31881 (PSI),,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Other Log Settings,,,,,,,,,,,,
,Depth of Probe:,916.937 (mm),,,,,,,,,,
,Head Pressure:,1.31984 (PSI),,,,,,,,,,
,Temperature:,26.0738 (C),,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Log Notes:,,,,,,,,,,,,
Date and Time,Note,,,,,,,,,,,
10/30/14 14:18,Used Battery: 44% Used Memory: 3%   User Name: Troxler lab,,,,,,,,,,,
1/29/15 14:45,Log Download - Used Battery: 49% Used Memory: 6%   User Name: Troxler lab Interval -  Start Time: 10/15/2014 3:15:00 PM Stop Time: 1/29/2015 9:30:00 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Log Data:,,,,,,,,,,,,
Record Count,8739,,,,,,,,,,,
,,,,,,,,,,,,
Sensors,1,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,142697,PCTD 15 PSIG (11m/35ft),,,,,,,,,
,,,,,,,,,,,,
Time Zone: Central Daylight Time/Central Standard Time,,,,,,,,,,,,
,,,,,,,,,,,,
,,Sensor: PCTD(G) 35ft          ,Sensor: PCTD(G) 35ft          ,Sensor: PCTD(G) 35ft          ,Sensor: PCTD(G) 35ft          ,,,,,,,
,Elapsed Time,SN#: 142697                   ,SN#: 142697                   ,SN#: 142697                   ,SN#: 142697                   ,,,,,,,
Date and Time,Seconds     ,Level Depth To Water (mm)     ,Temperature (C)               ,Pressure (PSI)                ,Specific Conductivity (µS)    ,,,,,,,
10/30/14 15:15,0,581.387,25.779,1.302,,,,,,,,
10/30/14 15:30,900,582.577,25.759,1.301,,,,,,,,
10/30/14 15:45,1800,582.258,25.743,1.301,,,,,,,,
10/30/14 16:00,2700,582.026,25.731,1.302,,,,,,,,
10/30/14 16:15,3600,582.019,25.721,1.302,,,,,,,,
10/30/14 16:30,4500,582.596,25.713,1.301,,,,,,,,
10/30/14 16:45,5400,582.431,25.706,1.301,,,,,,,,
10/30/14 17:00,6300,582.377,25.7,1.301,,,,,,,,
10/30/14 17:15,7200,582.753,25.696,1.3,,,,,,,,
10/30/14 17:30,8100,582.71,25.692,1.301,,,,,,,,
10/30/14 17:45,9000,582.675,25.687,1.301,,,,,,,,
10/30/14 18:00,9900,582.803,25.684,1.3,,,,,,,,
10/30/14 18:15,10800,582.675,25.68,1.301,,,,,,,,
10/30/14 18:30,11700,583.022,25.678,1.3,,,,,,,,
10/30/14 18:45,12600,582.829,25.675,1.3,,,,,,,,
10/30/14 19:00,13500,583.022,25.672,1.3,,,,,,,,
10/30/14 19:15,14400,582.91,25.67,1.3,,,,,,,,
10/30/14 19:30,15300,582.492,25.668,1.301,,,,,,,,
10/30/14 19:45,16200,583.063,25.666,1.3,,,,,,,,
10/30/14 20:00,17100,582.91,25.664,1.3,,,,,,,,
10/30/14 20:15,18000,582.965,25.662,1.3,,,,,,,,
10/30/14 20:30,18900,583.022,25.66,1.3,,,,,,,,
10/30/14 20:45,19800,583.317,25.658,1.3,,,,,,,,
10/30/14 21:00,20700,582.965,25.657,1.3,,,,,,,,
10/30/14 21:15,21600,583.354,25.656,1.3,,,,,,,,
10/30/14 21:30,22500,583.002,25.654,1.3,,,,,,,,
10/30/14 21:45,23400,582.947,25.652,1.3,,,,,,,,
10/30/14 22:00,24300,583.218,25.651,1.3,,,,,,,,
10/30/14 22:15,25200,583.199,25.65,1.3,,,,,,,,
10/30/14 22:30,26100,583.258,25.648,1.3,,,,,,,,
10/30/14 22:45,27000,583.258,25.647,1.3,,,,,,,,
10/30/14 23:00,27900,583.199,25.645,1.3,,,,,,,,
10/30/14 23:15,28800,583.511,25.645,1.299,,,,,,,,
10/30/14 23:30,29700,583.354,25.643,1.3,,,,,,,,
10/30/14 23:45,30600,583.373,25.641,1.3,,,,,,,,
10/31/14 0:00,31500,583.454,25.64,1.299,,,,,,,,
10/31/14 0:15,32400,583.591,25.64,1.299,,,,,,,,
10/31/14 0:30,33300,583.277,25.639,1.3,,,,,,,,
10/31/14 0:45,34200,583.609,25.637,1.299,,,,,,,,
10/31/14 1:00,35100,583.55,25.636,1.299,,,,,,,,
10/31/14 1:15,36000,583.454,25.635,1.299,,,,,,,,
10/31/14 1:30,36900,583.688,25.634,1.299,,,,,,,,
10/31/14 1:45,37800,583.668,25.633,1.299,,,,,,,,
10/31/14 2:00,38700,583.394,25.632,1.3,,,,,,,,
10/31/14 2:15,39600,583.668,25.631,1.299,,,,,,,,
10/31/14 2:30,40500,583.582,25.63,1.299,,,,,,,,
10/31/14 2:45,41400,583.804,25.629,1.299,,,,,,,,
10/31/14 3:00,42300,583.725,25.628,1.299,,,,,,,,
10/31/14 3:15,43200,583.591,25.627,1.299,,,,,,,,
10/31/14 3:30,44100,583.981,25.626,1.299,,,,,,,,
10/31/14 3:45,45000,583.945,25.625,1.299,,,,,,,,
10/31/14 4:00,45900,583.845,25.624,1.299,,,,,,,,
10/31/14 4:15,46800,584.122,25.623,1.298,,,,,,,,
10/31/14 4:30,47700,583.961,25.623,1.299,,,,,,,,
10/31/14 4:45,48600,584.064,25.622,1.299,,,,,,,,
10/31/14 5:00,49500,583.823,25.621,1.299,,,,,,,,
10/31/14 5:15,50400,583.981,25.62,1.299,,,,,,,,
10/31/14 5:30,51300,584.259,25.618,1.298,,,,,,,,
10/31/14 5:45,52200,583.981,25.618,1.299,,,,,,,,
10/31/14 6:00,53100,584.551,25.617,1.298,,,,,,,,
10/31/14 6:15,54000,583.767,25.617,1.299,,,,,,,,
10/31/14 6:30,54900,584.195,25.615,1.298,,,,,,,,
10/31/14 6:45,55800,583.767,25.614,1.299,,,,,,,,
10/31/14 7:00,56700,584.47,25.613,1.298,,,,,,,,
10/31/14 7:15,57600,583.981,25.613,1.299,,,,,,,,
10/31/14 7:30,58500,584.195,25.612,1.298,,,,,,,,
10/31/14 7:45,59400,584.332,25.611,1.298,,,,,,,,
10/31/14 8:00,60300,584.377,25.61,1.298,,,,,,,,
10/31/14 8:15,61200,584.524,25.609,1.298,,,,,,,,
10/31/14 8:30,62100,584.567,25.609,1.298,,,,,,,,
10/31/14 8:45,63000,584.684,25.608,1.298,,,,,,,,
10/31/14 9:00,63900,584.701,25.607,1.298,,,,,,,,
10/31/14 9:15,64800,584.624,25.606,1.298,,,,,,,,
10/31/14 9:30,65700,584.65,25.605,1.298,,,,,,,,
10/31/14 9:45,66600,584.957,25.605,1.297,,,,,,,,
10/31/14 10:00,67500,584.304,25.603,1.298,,,,,,,,
10/31/14 10:15,68400,584.585,25.603,1.298,,,,,,,,
10/31/14 10:30,69300,584.973,25.602,1.297,,,,,,,,
10/31/14 10:45,70200,585.096,25.602,1.297,,,,,,,,
10/31/14 11:00,71100,585.075,25.6,1.297,,,,,,,,
10/31/14 11:15,72000,584.973,25.599,1.297,,,,,,,,
10/31/14 11:30,72900,585.289,25.599,1.297,,,,,,,,
10/31/14 11:45,73800,585.168,25.598,1.297,,,,,,,,
10/31/14 12:00,74700,585.035,25.597,1.297,,,,,,,,
10/31/14 12:15,75600,585.563,25.596,1.296,,,,,,,,
10/31/14 12:30,76500,585.205,25.595,1.297,,,,,,,,
10/31/14 12:45,77400,585.914,25.594,1.296,,,,,,,,
10/31/14 13:00,78300,585.715,25.594,1.296,,,,,,,,
10/31/14 13:15,79200,585.518,25.593,1.296,,,,,,,,
10/31/14 13:30,80100,585.734,25.592,1.296,,,,,,,,
10/31/14 13:45,81000,586.111,25.592,1.296,,,,,,,,
10/31/14 14:00,81900,585.946,25.591,1.296,,,,,,,,
10/31/14 14:15,82800,586.48,25.591,1.295,,,,,,,,
10/31/14 14:30,83700,586.596,25.589,1.295,,,,,,,,
10/31/14 14:45,84600,586.847,25.59,1.295,,,,,,,,
10/31/14 15:00,85500,587.083,25.588,1.294,,,,,,,,
10/31/14 15:15,86400,586.942,25.587,1.294,,,,,,,,
10/31/14 15:30,87300,587.04,25.586,1.294,,,,,,,,
10/31/14 15:45,88200,586.961,25.585,1.294,,,,,,,,
10/31/14 16:00,89100,587.121,25.585,1.294,,,,,,,,
10/31/14 16:15,90000,587.277,25.584,1.294,,,,,,,,
10/31/14 16:30,90900,587.043,25.584,1.294,,,,,,,,
10/31/14 16:45,91800,587.531,25.583,1.294,,,,,,,,
10/31/14 17:00,92700,587.569,25.582,1.294,,,,,,,,
10/31/14 17:15,93600,587.35,25.582,1.294,,,,,,,,
10/31/14 17:30,94500,587.465,25.581,1.294,,,,,,,,
10/31/14 17:45,95400,588.057,25.58,1.293,,,,,,,,
