Date,Site,Type,Exp,P #,Chamber,Mean Salinity,SD Salinity,Batch,SRP um/l,TDP um/l,SRP ppb,TDP ppb
,,,,,,,,,,,,
2/11/2015,BW,PW,Control,P76950-1,1,6.68,0.75,4,0.704,2.015,21.8,62.4
2/11/2015,BW,PW,Control,P76950-2,3,8.74,0.41,4,2.738,4.582,84.8,141.9
2/11/2015,BW,PW,Control,P76950-3,5,8.76,0.57,4,5.293,4.411,163.92,136.61
2/11/2015,BW,PW,Control,P76950-4,7,6.93,1.55,4,1.667,2.119,51.63,65.63
2/11/2015,BW,PW,Control,P76950-5,8,8.13,0.99,4,5.613,7.066,173.83,218.83
2/11/2015,BW,PW,Control,P76950-6,9,8.51,0.62,4,2.128,2.186,65.9,67.7
2/11/2015,BW,PW,Treat,P76950-7,11,14.98,0.33,4,0.966,1.42,29.92,43.98
2/11/2015,BW,PW,Treat,P76950-8,12,15.28,1.06,4,2.119,2.819,65.63,87.3
2/11/2015,BW,PW,Treat,P76950-9,13,14.48,0.86,4,1.389,1.986,43.02,61.51
2/11/2015,BW,PW,Treat,P76950-10,14,14.07,1.36,4,1.511,2.521,46.8,78.08
2/11/2015,BW,PW,Treat,P76950-11,15,12.37,1.16,4,0.982,1.338,30.41,41.44
2/11/2015,BW,PW,Treat,P76950-12,16,13.98,0.84,4,2.027,1.852,62.78,57.36
,,,,,,,,,,,,
2/11/2015,BW,SW,EB,P76949-1,0,0,,2,0.042,0.071,1.3,2.2
2/11/2015,BW,SW,Control,,1,,,,,,,
2/11/2015,BW,SW,Control,P76949-3,3,3.03,,3,0.352,0.599,10.9,18.55
2/11/2015,BW,SW,Control,P76949-4,3,3.03,,3,0.385,0.615,11.92,19.05
2/11/2015,BW,SW,Control,P76949-5,5,6.74,,3,1.417,2.383,43.88,73.8
2/11/2015,BW,SW,Control,P76949-6,7,1.37,,3,0.341,0.637,10.56,19.73
2/11/2015,BW,SW,Control,P76949-7,8,1.67,,3,0.629,1.038,19.48,32.15
2/11/2015,BW,SW,Control,,9,,,,,,,
2/11/2015,BW,SW,Treat,,11,,,,,,,
2/11/2015,BW,SW,Treat,P76949-10,12,13.57,,3,0.369,0.736,11.43,22.79
2/11/2015,BW,SW,Treat,,13,,,,,,,
2/11/2015,BW,SW,Treat,,14,,,,,,,
2/11/2015,BW,SW,Treat,,15,,,,,,,
2/11/2015,BW,SW,Treat,,16,,,,,,,
2/11/2015,BW,SW,SOURCE,P76949-16,199,0.27,,2,0.093,0.306,2.88,9.48
,,,,,,,,,,,,
2/12/2015,FW,PW,Control,P76948-1,2,0.31,0.01,2,0.118,0.207,3.65,6.41
2/12/2015,FW,PW,Control,P76948-2,3,0.33,0.01,2,0.118,0.298,3.65,9.23
2/12/2015,FW,PW,Control,P76948-3,6,0.31,0.02,2,0.259,0.298,8.02,9.23
2/12/2015,FW,PW,Control,P76948-4,8,0.33,0.03,2,0.083,0.224,2.57,6.94
2/12/2015,FW,PW,Control,P76948-5,9,0.34,0.01,2,0.069,0.184,2.14,5.7
2/12/2015,FW,PW,Control,P76948-6,10,0.32,0.03,2,0.053,0.212,1.64,6.57
2/12/2015,FW,PW,Treat,P76948-7,11,1.16,0.35,2,,,,
2/12/2015,FW,PW,Treat,P76948-8,12,1.92,0.22,2,0.058,0.192,1.8,5.95
2/12/2015,FW,PW,Treat,P76948-9,13,1.7,0.55,2,0.166,0.243,5.14,7.53
2/12/2015,FW,PW,Treat,P76948-10,14,2.25,0.69,2,0.069,0.212,2.14,6.57
2/12/2015,FW,PW,Treat,P76948-11,15,1.38,0.44,2,0.1,0.2,3.1,6.19
2/12/2015,FW,PW,Treat,P76948-12,16,2.11,0.27,2,0.106,0.242,3.28,7.49
,,,,,,,,,,,,
2/12/2015,FW,SW,EB,P76947-1,0,0,,1,0.021,0.236,0.65,7.31
2/12/2015,FW,SW,Control,P76947-2,2,0.33,,1,0.08,0.418,2.48,12.95
2/12/2015,FW,SW,Control,P76947-3,2,0.33,,1,0.061,0.318,1.89,9.85
2/12/2015,FW,SW,Control,P76947-4,3,0.31,,1,0.083,0.532,2.57,16.48
2/12/2015,FW,SW,Control,P76947-5,6,0.31,,1,0.053,0.481,1.64,14.9
2/12/2015,FW,SW,Control,P76947-6,8,0.32,,1,0.035,0.434,1.08,13.44
2/12/2015,FW,SW,Control,P76947-7,9,0.32,,1,0.09,0.432,2.79,13.38
2/12/2015,FW,SW,Control,P76947-8,10,0.31,,1,0.049,0.415,1.52,12.85
2/12/2015,FW,SW,Treat,P76947-9,11,1.91,,1,0.071,0.428,2.2,13.26
2/12/2015,FW,SW,Treat,P76947-10,12,1.04,,1,0.099,0.409,3.07,12.67
2/12/2015,FW,SW,Treat,P76947-11,13,2.95,,1,0.115,0.435,3.56,13.47
2/12/2015,FW,SW,Treat,P76947-12,14,2.9,,1,0.103,0.457,3.19,14.15
2/12/2015,FW,SW,Treat,P76947-13,15,1.27,,1,0.075,0.462,2.32,14.31
2/12/2015,FW,SW,Treat,P76947-14,16,2.59,,1,0.088,0.495,2.73,15.33
2/12/2015,FW,SW,Treat,P76947-15,16,2.59,,1,0.095,0.469,2.94,14.52
2/12/2015,FW,SW,SOURCE,P76949-17,199,0.27,,1,0.148,0.409,4.58,12.67
,,,,,,,,,,,,
1/14/2015,BW,PW,Control,P76815-1,1,6.89,0.53,4,0.948,1.867,29.36,57.82
1/14/2015,BW,PW,Control,P76815-2,3,8.51,0.56,4,4.027,5.705,124.72,176.68
1/14/2015,BW,PW,Control,P76815-3,5,7.95,0.91,4,5.362,4.358,166.06,134.97
1/14/2015,BW,PW,Control,P76815-4,7,7.81,0.62,4,5.224,4.292,161.79,132.92
1/14/2015,BW,PW,Control,P76815-5,8,8.5,1.05,4,5.971,7.713,184.92,238.87
1/14/2015,BW,PW,Control,P76815-6,9,8.88,0.6,4,4.525,3.585,140.14,111.03
1/14/2015,BW,PW,Treat,P76815-7,11,12.72,0.5,4,0.952,1.257,29.48,38.93
1/14/2015,BW,PW,Treat,P76815-8,12,13.47,0.45,4,1.675,2.462,51.87,76.25
1/14/2015,BW,PW,Treat,P76815-9,13,13.57,2.37,4,1.246,1.673,38.59,51.81
1/14/2015,BW,PW,Treat,P76815-10,14,13.61,1.01,4,2.182,2.633,67.58,81.54
1/14/2015,BW,PW,Treat,P76815-11,15,12.81,1.55,4,1.137,1.428,35.21,44.23
1/14/2015,BW,PW,Treat,P76815-12,16,12.95,0.43,4,1.718,2.082,53.21,64.48
,,,,,,,,,,,,
1/14/2015,BW,SW,EB,P76816-1,0,0,,2,0.003,0.047,0.09,1.46
1/14/2015,BW,SW,Control,P76816-2,1,2.38,,3,0.386,0.582,11.95,18.02
1/14/2015,BW,SW,Control,P76816-3,3,3.82,,3,0.307,0.621,9.51,19.23
1/14/2015,BW,SW,Control,P76816-4,3,3.82,,3,0.288,0.581,8.92,17.99
1/14/2015,BW,SW,Control,P76816-5,5,4.88,,3,0.572,0.815,17.71,25.24
1/14/2015,BW,SW,Control,P76816-6,7,3.91,,3,0.315,0.601,9.76,18.61
1/14/2015,BW,SW,Control,P76816-7,8,1.89,,3,0.226,0.454,7,14.06
1/14/2015,BW,SW,Control,P76816-8,9,3.45,,3,0.371,0.697,11.49,21.59
1/14/2015,BW,SW,Treat,P76816-9,11,7.5,,3,0.466,0.832,14.43,25.77
1/14/2015,BW,SW,Treat,P76816-10,12,7.15,,3,0.406,0.656,12.57,20.32
1/14/2015,BW,SW,Treat,P76816-15,12,7.15,,3,0.421,0.728,13.04,22.55
1/14/2015,BW,SW,Treat,,13,,,,,,,
1/14/2015,BW,SW,Treat,P76816-12,14,7.56,,3,0.469,0.771,14.52,23.88
