Date,Chamber,Sipper,PWTime ,PWTemp,PWCond,PWSalinity,PWpH,,,Date,Chamber,SWTime,SWTemp,SWCond,SWSalinity
10/22/2014,1,1,11:43,31.85,12.88,7.33,6.66,,,11/20/2014,1,13:21,23.38,8.826,4.93
10/22/2014,1,2,11:51,28.02,15.77,9.17,6.69,,,11/20/2014,1-Dup,13:24,23.32,8.843,4.94
10/22/2014,1,3,11:48,28.48,14.61,8.44,6.66,,,11/20/2014,3,13:31,23.13,8.89,4.97
10/22/2014,1,4,11:53,29.27,11.51,6.51,6.51,,,11/20/2014,5,13:57,23.62,9.002,5.03
10/22/2014,1,5,11:46,29.4,13.03,7.44,6.64,,,11/20/2014,7,13:47,23.74,8.804,4.91
10/22/2014,3,1,12:02,29.07,17.09,9.99,6.87,,,11/20/2014,8,14:28,25.52,8.811,4.91
10/22/2014,3,2,11:56,27.91,16.03,9.34,6.45,,,11/20/2014,9,14:38,25.62,8.909,4.97
10/22/2014,3,3,11:59,28.1,14.08,8.11,6.67,,,11/20/2014,11,14:51,24.8,9.013,5.03
10/22/2014,3,4,12:04,28.75,16.19,9.42,6.74,,,11/20/2014,12,15:21,25.76,9.439,5.29
10/22/2014,3,5,12:07,27.38,16.58,9.69,6.64,,,11/20/2014,13,15:05,24.77,9.089,5.08
10/22/2014,5,1,12:23,20.44,16.71,9.76,6.92,,,11/20/2014,14,15:26,24.08,9.233,5.18
10/22/2014,5,2,12:25,27.97,16.54,9.66,6.72,,,11/20/2014,15,15:39,24.83,9.369,5.25
10/22/2014,5,3,12:27,28,12.87,7.36,6.72,,,11/20/2014,16,15:31,24.99,9.116,5.1
10/22/2014,5,4,12:33,28.06,13.45,7.72,6.88,,,11/20/2014,16-Dup,15:36,24.69,9.066,5.07
10/22/2014,5,5,12:31,28.6,16.37,9.55,6.8,,,12/17/2014,3,10:46,15.82,9.968,5.65
10/22/2014,7,1,12:40,27.06,11.69,6.64,6.79,,,12/17/2014,1,10:59,15.99,10.04,5.7
10/22/2014,7,2,12:52,28.05,14.88,8.61,6.79,,,12/17/2014,16,11:19,20.47,11.14,6.36
