Date,Chamber,Sipper,PWTime ,PWTemp,PWCond,PWSalinity,PWpH,,,Date,Chamber,SWTime,SWTemp,SWCond,SWSalinity,pH
10/15/2014,2,1,12:31,29.27,0.383,0.18,,,,11/19/2014,1,10:52,19.46,0.478,0.23,7.38
10/15/2014,2,5,12:27,29.8,0.379,0.18,,,,11/19/2014,2,10:43,19.25,0.492,0.24,7.47
10/15/2014,2,6,12:29,29.65,0.377,0.18,,,,11/19/2014,3,10:54,19.51,0.472,0.23,7.42
10/15/2014,2,7,12:23,30.83,0.393,0.19,,,,11/19/2014,4,11:14,19.38,0.478,0.23,7.28
10/15/2014,2,8,12:25,29.75,0.376,0.18,,,,11/19/2014,5,12:09,19.39,0.477,0.23,7.34
10/15/2014,3,1,12:53,31.44,0.931,0.45,,,,11/19/2014,6,12:08,18.63,0.464,0.22,7.37
10/15/2014,3,5,12:47,31.6,0.429,0.2,,,,11/19/2014,7,12:07,19.19,0.477,0.23,7.37
10/15/2014,3,6,13:05,32.1,0.442,0.21,,,,11/19/2014,8,12:06,18.75,0.464,0.22,7.14
10/15/2014,3,7,12:55,31.05,0.415,0.2,,,,11/19/2014,9,12:54,18.72,0.47,0.23,7.23
10/15/2014,3,8,13:00,31.4,0.379,0.18,,,,11/19/2014,10,12:55,18.6,0.479,0.23,7.26
10/15/2014,6,1,15:31,31.9,0.425,0.2,,,,11/19/2014,11,12:57,17.73,3.464,1.83,7.49
10/15/2014,6,5,15:35,30.09,0.417,0.2,,,,11/19/2014,12,12:56,18.26,1.585,0.8,7.44
10/15/2014,6,6,15:33,30.86,0.439,0.21,,,,11/19/2014,13,13:58,18.24,0.702,0.34,7.7
10/15/2014,6,7,15:36,31.02,0.444,0.21,,,,11/19/2014,14,13:58,17.87,2.551,1.32,7.65
10/15/2014,6,8,15:32,30.77,0.396,0.19,,,,11/19/2014,15,13:59,17.92,3.516,1.86,7.58
10/15/2014,8,1,10:59,28.52,0.535,0.26,,,,11/19/2014,16,13:59,17.8,2.882,1.51,7.58
10/15/2014,8,2,10:55,29.34,0.588,0.28,,,,12/18/2014,15,10:18,19.74,2.86,1.49,
10/15/2014,8,3,10:58,28.87,0.399,0.19,,,,12/18/2014,16,10:34,19.29,2.66,1.38,
10/15/2014,8,4,11:00,28.82,0.418,0.2,,,,12/18/2014,13,10:48,18.36,0.61,0.3,
10/15/2014,8,5,11:12,28.35,0.402,0.2,,,,12/18/2014,14,10:59,19.4,4.35,2.33,
10/15/2014,8,6,11:20,28.11,0.498,0.24,,,,12/18/2014,11,11:15,19.2,1.71,0.87,
10/15/2014,8,7,11:07,28.2,0.409,0.19,,,,12/18/2014,12,11:27,18.64,0.6,0.29,
10/15/2014,8,8,11:05,27.92,0.421,0.2,,,,12/18/2014,9,11:43,18.73,0.54,0.26,
10/15/2014,9,1,12:08,29.19,0.419,0.2,,,,12/18/2014,10,11:55,18.47,0.54,0.26,
10/15/2014,9,5,12:05,28.59,0.374,0.18,,,,12/18/2014,7,No Chamber,,,,
