"","CORE","TRT","STATION","CRYPT","SWPW","COLLECT_DATE","TEST_NAME","VALUE","UNITS"
"1",1,"elevinun","C1C1",1,"PW","09/ 7/2014 13:00","ALKA",136,"mg/L"
"2",1,"elevinun","C1C1",1,"PW","09/15/2014 10:38","ALKA",112,"mg/L"
"3",1,"elevinun","C1C1",1,"PW","09/21/2014 18:26","ALKA",98,"mg/L"
"4",1,"elevinun","C1C1",1,"PW","09/29/2014 08:50","ALKA",127,"mg/L"
"5",1,"elevinun","C1C1",1,"PW","10/ 5/2014 10:00","ALKA",124,"mg/L"
"6",1,"elevinun","C1C1",1,"PW","10/13/2014 07:54","ALKA",142,"mg/L"
"7",1,"elevinun","C1C1",1,"PW","10/20/2014 10:00","ALKA",90,"mg/L"
"8",1,"elevinun","C1C1",1,"PW","10/27/2014 08:37","ALKA",150,"mg/L"
"9",1,"elevinun","C1C1",1,"PW","11/ 3/2014 08:26","ALKA",140,"mg/L"
"10",1,"elevinun","C1C1",1,"PW","11/10/2014 13:00","ALKA",18,"mg/L"
"11",1,"elevinun","C1C1",1,"PW","11/17/2014 07:32","ALKA",140,"mg/L"
"12",1,"elevinun","C1C1",1,"PW","11/23/2014 13:00","ALKA",140.35,"mg/L CaCO3"
"13",1,"elevinun","C1C1",1,"PW","12/ 1/2014 12:00","ALKA",108.85,"mg/L"
"14",1,"elevinun","C1C1",1,"PW","09/15/2014 10:38","NOX",0.005,"mg/L"
"15",1,"elevinun","C1C1",1,"PW","09/21/2014 18:26","NOX",0.005,"mg/L"
"16",1,"elevinun","C1C1",1,"PW","09/29/2014 08:50","NOX",0.005,"mg/L"
"17",1,"elevinun","C1C1",1,"PW","09/ 7/2014 13:00","DOC",13.1,"mg/L"
"18",1,"elevinun","C1C1",1,"PW","09/15/2014 10:38","DOC",16.5,"mg/L"
"19",1,"elevinun","C1C1",1,"PW","09/21/2014 18:26","DOC",18.4,"mg/L"
"20",1,"elevinun","C1C1",1,"PW","09/29/2014 08:50","DOC",17.1,"mg/L"
"21",1,"elevinun","C1C1",1,"PW","10/ 5/2014 10:00","DOC",20.8,"mg/L"
"22",1,"elevinun","C1C1",1,"PW","10/13/2014 07:54","DOC",19.5,"mg/L"
"23",1,"elevinun","C1C1",1,"PW","10/20/2014 10:00","DOC",18.1,"mg/L"
