STATION,CRYPT,CORE,SWPW,COLLECT_DATE,TEST_NAME,VALUE,UNITS
C1C1,1,1,PW,09/ 7/2014 13:00,ALKA,136,mg/L
C1C1,1,1,PW,09/15/2014 10:38,ALKA,112,mg/L
C1C1,1,1,PW,09/21/2014 18:26,ALKA,98,mg/L
C1C1,1,1,PW,09/29/2014 08:50,ALKA,127,mg/L
C1C1,1,1,PW,10/ 5/2014 10:00,ALKA,124,mg/L
C1C1,1,1,PW,10/13/2014 07:54,ALKA,142,mg/L
C1C1,1,1,PW,10/20/2014 10:00,ALKA,90,mg/L
C1C1,1,1,PW,10/27/2014 08:37,ALKA,150,mg/L
C1C1,1,1,PW,11/ 3/2014 08:26,ALKA,140,mg/L
C1C1,1,1,PW,11/10/2014 13:00,ALKA,18,mg/L
C1C1,1,1,PW,11/17/2014 07:32,ALKA,140,mg/L
C1C1,1,1,PW,11/23/2014 13:00,ALKA,140.35,mg/L CaCO3
C1C1,1,1,PW,12/ 1/2014 12:00,ALKA,108.85,mg/L
C1C2,1,2,PW,09/ 7/2014 13:09,ALKA,131,mg/L
C1C2,1,2,PW,09/15/2014 10:43,ALKA,109,mg/L
C1C2,1,2,PW,09/21/2014 18:27,ALKA,125,mg/L
C1C2,1,2,PW,09/29/2014 08:35,ALKA,141,mg/L
C1C2,1,2,PW,10/ 5/2014 10:00,ALKA,140,mg/L
C1C2,1,2,PW,10/13/2014 07:56,ALKA,140,mg/L
C1C2,1,2,PW,10/20/2014 10:00,ALKA,86,mg/L
C1C2,1,2,PW,10/27/2014 08:41,ALKA,149,mg/L
C1C2,1,2,PW,11/ 3/2014 08:28,ALKA,131,mg/L
C1C2,1,2,PW,11/10/2014 13:00,ALKA,2,mg/L
C1C2,1,2,PW,11/17/2014 07:34,ALKA,139,mg/L
C1C2,1,2,PW,11/23/2014 13:00,ALKA,134.11,mg/L
C1C2,1,2,PW,12/ 1/2014 12:00,ALKA,123.59,mg/L
C1C3,1,3,PW,09/ 7/2014 13:20,ALKA,134,mg/L
C1C3,1,3,PW,09/15/2014 10:48,ALKA,114,mg/L
C1C3,1,3,PW,09/21/2014 18:47,ALKA,135,mg/L
C1C3,1,3,PW,09/29/2014 08:37,ALKA,146,mg/L
C1C3,1,3,PW,10/ 5/2014 10:00,ALKA,138,mg/L
C1C3,1,3,PW,10/13/2014 07:57,ALKA,138,mg/L
C1C3,1,3,PW,10/20/2014 10:00,ALKA,74,mg/L
C1C3,1,3,PW,10/27/2014 08:42,ALKA,152,mg/L
C1C3,1,3,PW,11/ 3/2014 08:30,ALKA,145,mg/L
C1C3,1,3,PW,11/10/2014 13:00,ALKA,128,mg/L
C1C3,1,3,PW,11/17/2014 07:36,ALKA,141,mg/L
C1C3,1,3,PW,11/23/2014 13:00,ALKA,134.36,mg/L
C1C3,1,3,PW,12/ 1/2014 12:00,ALKA,102.33,mg/L
C1C4,1,4,PW,09/ 7/2014 13:30,ALKA,132,mg/L
C1C4,1,4,PW,09/15/2014 10:52,ALKA,132,mg/L
C1C4,1,4,PW,09/21/2014 19:09,ALKA,132,mg/L
C1C4,1,4,PW,09/29/2014 08:39,ALKA,143,mg/L
C1C4,1,4,PW,10/ 5/2014 10:00,ALKA,136,mg/L
C1C4,1,4,PW,10/13/2014 07:59,ALKA,128,mg/L
C1C4,1,4,PW,10/20/2014 10:00,ALKA,98,mg/L
C1C4,1,4,PW,10/27/2014 08:46,ALKA,142,mg/L
C1C4,1,4,PW,11/ 3/2014 08:33,ALKA,140,mg/L
C1C4,1,4,PW,11/10/2014 13:00,ALKA,53,mg/L
C1C4,1,4,PW,11/17/2014 07:38,ALKA,144,mg/L
C1C4,1,4,PW,11/23/2014 13:00,ALKA,136.6,mg/L
C1C4,1,4,PW,12/ 1/2014 12:00,ALKA,113.37,mg/L
