Chamber,Sipper,Time,Temp,Cond,Salinity,pH,Notes,,Date
1,1,11:43,31.85,12.88,7.33,6.66,,,10/22/2014
1,2,11:51,28.02,15.77,9.17,6.69,,,10/22/2014
1,3,11:48,28.48,14.61,8.44,6.66,,,10/22/2014
1,4,11:53,29.27,11.51,6.51,6.51,,,10/22/2014
1,5,11:46,29.4,13.03,7.44,6.64,,,10/22/2014
3,1,12:02,29.07,17.09,9.99,6.87,,,10/22/2014
3,2,11:56,27.91,16.03,9.34,6.45,,,10/22/2014
3,3,11:59,28.1,14.8,8.11,6.67,,,10/22/2014
3,4,12:04,28.75,16.19,9.42,6.74,,,10/22/2014
3,5,12:07,27.38,16.58,9.69,6.64,,,10/22/2014
5,1,12:23,28.44,16.71,9.76,6.92,,,10/22/2014
5,2,12:25,27.97,16.54,9.66,6.72,,,10/22/2014
5,3,12:27,28,12.87,7.36,6.72,,,10/22/2014
5,4,12:33,28.06,13.45,7.72,6.88,,,10/22/2014
5,5,12:31,28.6,16.37,9.55,6.8,,,10/22/2014
7,1,12:40,27.06,11.69,6.64,6.79,,,10/22/2014
7,2,12:52,28.05,14.88,8.61,6.79,,,10/22/2014
7,3,12:43,26.61,13.95,8.04,6.71,,,10/22/2014
7,4,12:50,26.51,11.07,6.27,6.79,,,10/22/2014
7,5,12:17,26.7,12.44,7.1,6.79,,,10/22/2014
8,1,12:59,27.34,18.11,10.66,6.76,,,10/22/2014
8,2,13:02,27.92,15.36,8.92,6.78,,,10/22/2014
8,3,13:07,27.74,17.42,10.22,6.77,,,10/22/2014
8,4,13:10,27.11,13.84,7.97,6.76,,,10/22/2014
8,5,13:20,26.95,13.82,7.96,6.76,,,10/22/2014
9,1,13:16,27.82,15.95,9.29,6.89,,,10/22/2014
9,2,13:34,26.88,11.77,6.69,6.7,,,10/22/2014
9,3,13:23,26.76,11.35,6.43,6.76,,,10/22/2014
9,4,13:37,28.1,14.6,8.43,6.83,,,10/22/2014
9,5,13:27,27.05,13.9,8.01,6.71,,,10/22/2014
11,1,14:28,26.65,14.16,8.18,6.63,,,10/22/2014
11,2,14:03,28,15.83,9.21,6.67,,,10/22/2014
11,3,14:14,27.06,20.64,12.3,6.7,,,10/22/2014
11,4,14:10,27.37,20.5,12.21,6.67,,,10/22/2014
11,5,13:59,28.81,19.02,11.23,6.58,,,10/22/2014
12,1,14:23,27.01,21.5,12.87,6.81,,,10/22/2014
12,2,14:32,27.33,22.55,13.55,6.61,,,10/22/2014
12,3,14:26,26.52,25.81,15.71,6.6,,,10/22/2014
12,4,14:29,26.82,23.97,14.5,6.55,,,10/22/2014
12,5,14:36,26.01,25.42,15.46,6.61,,,10/22/2014
14,1,14:50,27.27,18.65,11.02,6.78,,,10/22/2014
14,2,14:56,26.74,19.54,11.59,6.79,,,10/22/2014
14,3,14:44,26.29,22.12,13.31,6.67,,,10/22/2014
14,4,14:46,26.42,22.11,13.27,6.65,,,10/22/2014
14,5,14:53,26.2,16.91,9.92,6.67,,,10/22/2014
13,1,15:02,25.51,26.62,7.23,6.8,,,10/22/2014
13,2,15:05,25.54,11.57,6.58,6.68,,,10/22/2014
13,3,15:11,25.36,13.25,7.62,6.58,,,10/22/2014
13,4,15:14,25.17,20.78,12.42,6.56,,,10/22/2014
13,5,14:58,25.65,19.39,11.51,6.81,,,10/22/2014
15,1,15:31,24.92,14.98,8.68,7.01,,,10/22/2014
15,2,15:38,25.28,17.05,10.01,6.73,,,10/22/2014
15,3,15:41,25.01,12.91,7.41,6.77,,,10/22/2014
15,4,15:35,24.9,17.64,10.4,6.5,,,10/22/2014
15,5,15:44,25.08,17.87,10.54,6.67,,,10/22/2014
16,1,15:24,25.25,20.29,12.1,6.72,,,10/22/2014
16,2,15:37,25.46,17.06,10.02,6.91,,,10/22/2014
16,3,15:17,25.16,21.21,12.7,6.6,,,10/22/2014
16,4,15:21,25.21,22.12,13.3,6.82,,,10/22/2014
16,5,15:27,25.32,21.62,12.87,6.76,,,10/22/2014
