Chamber,Sipper,Time,Temp,Cond,Salinity,pH,Notes,,Date
8,1,10:59,28.52,0.535,0.26,n/a*,*Wrong Probe,,10/15/2014
8,2,10:55,29.34,0.588,0.28,n/a*,*Wrong Probe,,10/15/2014
8,3,10:58,28.87,0.399,0.19,n/a*,*Wrong Probe,,10/15/2014
8,4,11:00,28.82,0.418,0.2,n/a*,*Wrong Probe,,10/15/2014
8,5,11:12,28.35,0.402,0.2,n/a*,*Wrong Probe,,10/15/2014
8,6,11:20,28.11,0.498,0.24,n/a*,*Wrong Probe,,10/15/2014
8,7,11:07,28.2,0.409,0.19,n/a*,*Wrong Probe,,10/15/2014
8,8,11:05,27.92,0.421,0.2,n/a*,*Wrong Probe,,10/15/2014
10,5,11:35,28.76,0.41,0.19,n/a*,*Wrong Probe,,10/15/2014
10,6,11:38,28.83,0.403,0.19,n/a*,*Wrong Probe,,10/15/2014
10,7,11:42,28.12,0.472,0.23,n/a*,*Wrong Probe,,10/15/2014
10,8,11:40,28.41,0.397,0.29,n/a*,*Wrong Probe,,10/15/2014
10,1,11:37,28.71,0.385,0.18,n/a*,*Wrong Probe,,10/15/2014
9,5,12:05,28.59,0.374,0.18,n/a*,*Wrong Probe,,10/15/2014
9,6,11:58,28.62,0.514,0.25,n/a*,*Wrong Probe,,10/15/2014
9,7,12:01,28.65,0.405,0.19,n/a*,*Wrong Probe,,10/15/2014
9,8,11:55,28.5,0.391,0.19,n/a*,*Wrong Probe,,10/15/2014
9,1,12:08,29.19,0.419,0.2,n/a*,*Wrong Probe,,10/15/2014
2,5,12:27,29.8,0.379,0.18,n/a*,*Wrong Probe,,10/15/2014
2,6,12:29,29.65,0.377,0.18,n/a*,*Wrong Probe,,10/15/2014
2,7,12:23,30.83,0.393,0.19,n/a*,*Wrong Probe,,10/15/2014
2,8,12:25,29.75,0.376,0.18,n/a*,*Wrong Probe,,10/15/2014
2,1,12:31,29.27,0.383,0.18,n/a*,*Wrong Probe,,10/15/2014
3,5,12:27,29.8,0.379,0.18,n/a*,*Wrong Probe,,10/15/2014
