,,,,,,,,,,degrees C,mS/cm,ppt,,
Sampling Date,Year ,Month,Sample Source,Exp,P Number,Sample ID,Crypt/Tank #,Core #,Time,Temp ,Cond,Salinity,pH,Flag
2/3/15,2015,2,SW,Source,P75904,2,H1,N/A,12:06,22.44,54.76,36.31,8.09,
2/3/15,2015,2,SW,Source,P75904,3,H2,N/A,12:22,22.16,1.621,0.84,8.43,
2/3/15,2015,2,SW,Source,P75904,4,M1,N/A,12:31,21.16,10.51,5.96,8.12,
2/3/15,2015,2,SW,Source,P75904,5,M2,N/A,12:18,21.84,32.57,20.38,8,
2/4/15,2015,2,SW,Treatment,P75904,6,1,N/A,10:59,21.49,24.19,14.7,7.85,
2/4/15,2015,2,SW,Control,P75904,7,2,N/A,11:04,21.64,13.75,7.96,7.89,
2/4/15,2015,2,SW,Treatment,P75904,8,3,N/A,11:11,21.48,24.17,14.7,7.87,
2/4/15,2015,2,SW,Control,P75904,9,4,N/A,11:13,21.81,13.31,7.68,7.92,
2/4/15,2015,2,SW,Treatment,P75904,10,5,N/A,11:17,21.78,24.72,15.05,7.9,
2/4/15,2015,2,SW,Control,P75904,11,6,N/A,11:19,22.25,13.52,7.8,8.01,
2/5/15,2015,2,PW,Treatment,P75904,12,1,1,9:31,23.28,21.9,13.16,6.75,
2/5/15,2015,2,PW,Treatment,P75904,13,1,2,9:29,23.59,22.72,13.73,7.25,
2/5/15,2015,2,PW,Treatment,P75904,14,1,3,10:33,23,21.86,13.15,6.85,
2/5/15,2015,2,PW,Treatment,P75904,15,1,4,10:42,22.42,20.56,12.31,6.73,
2/5/15,2015,2,PW,Control,P75904,16,2,5,10:57,22.36,13.29,7.67,6.84,
2/5/15,2015,2,PW,Control,P75904,17,2,6,11:08,22.42,13.35,7.71,7.05,
2/5/15,2015,2,PW,Control,P75904,18,2,7,11:17,22.38,13.37,7.72,6.83,
2/5/15,2015,2,PW,Control,P75904,19,2,8,11:22,22.34,13.46,7.77,6.95,
2/5/15,2015,2,PW,Treatment,P75904,20,3,9,11:27,22.36,23.47,14.23,7.1,
2/5/15,2015,2,PW,Treatment,P75904,21,3,10,no sample- sipper not pulling,,,,,
2/5/15,2015,2,PW,Treatment,P75904,22,3,11,11:46,22.09,22.3,13.45,6.94,
2/5/15,2015,2,PW,Treatment,P75904,23,3,12,11:55,22.19,23.16,14.02,7.27,
2/5/15,2015,2,PW,Control,P75904,24,4,13,12:04,22.2,13.21,7.62,7,
2/5/15,2015,2,PW,Control,P75904,25,4,14,12:10,22.26,12.8,7.37,6.81,
2/5/15,2015,2,PW,Control,P75904,26,4,15,12:17,22.5,11.74,6.71,7.06,
2/5/15,2015,2,PW,Control,P75904,27,4,16,12:23,22.42,12.82,7.37,7.04,
2/5/15,2015,2,PW,Treatment,P75904,28,5,17,12:45,22.28,21.04,12.63,7.1,
2/5/15,2015,2,PW,Treatment,P75904,29,5,18,12:36,22.61,20.39,12.2,6.97,
2/5/15,2015,2,PW,Treatment,P75904,30,5,19,13:24,22.06,15.64,9.15,6.98,
2/5/15,2015,2,PW,Treatment,P75904,31,5,20,12:54,22.6,20.88,12.52,7.07,
2/5/15,2015,2,PW,Control,P75904,32,6,21,13:06,22.31,13.24,7.64,7.2,
2/5/15,2015,2,PW,Control,P75904,33,6,22,13:13,22.38,13.72,7.94,6.81,
2/5/15,2015,2,PW,Control,P75904,34,6,23,13:18,22.18,14.31,8.31,6.83,
2/5/15,2015,2,PW,Control,P75904,35,6,24,13:33,22.04,13.23,7.63,6.95,
2/4/15,2015,2,SW,Treatment,P75904,37,1,N/A,11:00,21.49,24.19,14.7,7.85,FD
2/4/15,2015,2,SW,Control,P75904,38,2,N/A,11:05,21.64,13.75,7.96,7.89,FD
