"","site","chamber","date","pwsw","temp","cond","salinity","ph","station","ALKA","CL","DOC","LCOND","LPH","NH4","NOX","Salinity","SO4","TDN","TN","trt","mean.salinity","srp.um.l","tdp.um.l","srp.ppb","tdp.ppb"
"1","BW",1,2014-10-22,"PW",29.404,13.56,7.778,6.632,"BW-P-1",479,3823,196,NA,7.57,1.759,0.005,NA,118,6.13,NA,"control",7.46,1.625,3.406,50.33,105.48
"2","BW",1,2014-10-22,"SW",NA,NA,NA,NA,"BW-S-1",107,1552,51.2,NA,7.84,0.065,0.005,NA,53.5,1.65,NA,"control",2.8,0.353,0.402,10.93,12.45
"3","BW",1,2014-10-22,"SW",NA,NA,NA,NA,"BW-S-1",107,1552,51.2,NA,7.84,0.065,0.005,NA,53.5,1.65,NA,"control",2.76,0.242,0.423,7.49,13.1
"4","BW",1,2014-11-20,"PW",25.444,13.432,7.738,6.78,"BW-P-1",529,3767,153,NA,7.71,1.876,NA,NA,68,5.97,NA,"control",7.19,1.522,3.741,47.14,115.86
"5","BW",1,2014-11-20,"SW",23.35,8.8345,4.935,NA,"BW-S-1",176,2679,80.4,NA,7.92,0.047,NA,NA,103,2.4,NA,"control",4.94,0.382,0.603,11.83,18.67
"6","BW",1,2014-11-20,"SW",23.35,8.8345,4.935,NA,"BW-S-1",176,2679,80.4,NA,7.92,0.047,NA,NA,103,2.4,NA,"control",4.93,0.369,0.523,11.43,16.2
"7","BW",1,2014-12-17,"PW",25.31,13.36,7.7,6.662,"BW-P-1",502,4528,145,NA,7.63,2.03,NA,NA,110,5.89,NA,"control",7.23,2.227,3.778,68.97,117
"8","BW",1,2014-12-17,"SW",15.99,10.04,5.7,NA,"BW-S-1",204,3185,82.3,NA,7.66,0.178,NA,NA,148,2.75,NA,"control",5.7,0.376,0.746,11.64,23.1
"9","BW",1,2014-12-17,"SW",15.99,10.04,5.7,NA,"BW-S-1",204,3185,82.3,NA,7.66,0.178,NA,NA,148,2.75,NA,"control",5.7,0.284,0.582,8.8,18.02
"10","BW",1,2015-01-14,"PW",26.026,12.984,7.452,6.544,"BW-P-1",356,3798,141,NA,7.46,0.708,NA,NA,60.5,3.79,NA,"control",6.89,0.948,1.867,29.36,57.82
"11","BW",1,2015-01-14,"SW",25.52,4.483,2.38,NA,"BW-S-1",218,1296,50.5,NA,8.02,0.053,0.005,NA,59.2,1.51,NA,"control",2.38,0.386,0.582,11.95,18.02
"12","BW",1,2015-02-11,"PW",23.062,12.924,7.442,6.832,"BW-P-1",388,3598,117,NA,7.51,1.038,NA,NA,79.5,4.35,NA,"control",6.68,0.704,2.015,21.8,62.4
"13","BW",1,2015-03-18,"PW",28.538,12.3668,7.062,6.84,"BW-P-1",317,3126,93.2,NA,7.91,1.285,NA,NA,232,4.05,NA,"control",NA,NA,NA,54.38,85.91
"14","BW",1,2015-04-15,"PW",30.4216666666667,15.41,8.92833333333333,6.865,"BW-P-1",306.53,4421.385,114.2,NA,7.73,NA,NA,NA,421.263,0.771,NA,"control",NA,NA,NA,65.04,105.67
"15","BW",2,2014-10-22,"SW",NA,NA,NA,NA,"BW-S-2",101,1512,50.1,NA,7.7,0.041,0.005,NA,55.2,1.68,NA,"control",2.83,0.392,0.346,12.14,10.72
"16","BW",2,2014-10-22,"SW",NA,NA,NA,NA,"BW-S-2",101,1512,50.1,NA,7.7,0.041,0.005,NA,55.2,1.68,NA,"control",2.73,0.475,0.668,14.71,20.69
"17","BW",3,2014-10-22,"PW",28.242,15.994,9.31,6.674,"BW-P-3",649,4910,177,NA,7.67,3.457,0.005,NA,256,7.52,NA,"control",9.07,0.354,5.846,10.96,181.05
"18","BW",3,2014-11-20,"PW",23.696,15.908,9.448,6.794,"BW-P-3",677,4406,146,NA,7.68,3.603,NA,NA,205,7.73,NA,"control",8.94,3.285,5.162,101.74,159.87
"19","BW",3,2014-11-20,"SW",23.13,8.89,4.97,NA,"BW-S-3",171,2724,81.6,NA,7.82,0.051,NA,NA,100,2.46,NA,"control",4.97,0.238,0.314,7.37,9.72
"20","BW",3,2014-12-17,"PW",27.94,15.976,9.308,6.686,"BW-P-3",669,5100,152,NA,7.61,3.605,NA,NA,203,7.55,NA,"control",8.63,2.941,5.028,91.08,155.72
"21","BW",3,2014-12-17,"SW",15.82,9.968,5.65,NA,"BW-S-3",196,2996,75.6,NA,7.83,0.294,NA,NA,124,2.74,NA,"control",5.65,0.139,0.397,4.3,12.3
"22","BW",3,2015-01-14,"PW",26.452,15.5,9.022,6.634,"BW-P-3",630,4551,156,NA,7.77,3.633,NA,NA,133,6.46,NA,"control",8.51,4.027,5.705,124.72,176.68
"23","BW",3,2015-01-14,"SW",29.14,7.008,3.82,NA,"BW-S-3",215,1964,72,NA,7.87,0.093,0.005,NA,94.7,2.04,NA,"control",3.82,0.307,0.621,9.51,19.23
"24","BW",3,2015-01-14,"SW",29.14,7.008,3.82,NA,"BW-S-3",215,1964,72,NA,7.87,0.093,0.005,NA,94.7,2.04,NA,"control",3.82,0.288,0.581,8.92,17.99
"25","BW",3,2015-02-11,"PW",23.588,15.828,9.274,6.714,"BW-P-3",520,4711,142,NA,7.49,3.143,NA,NA,174,7,NA,"control",8.74,2.738,4.582,84.8,141.9
